jurisd_local_id,parent_abbrev,abbrev,name,lexlabel
12,BR,AC,Acre,acre
13,BR,AM,Amazonas,amazonas
11,BR,RO,Rondônia,rondonia
14,BR,RR,Roraima,roraima
15,BR,PA,Pará,para
16,BR,AP,Amapá,amapa
17,BR,TO,Tocantins,tocantins
21,BR,MA,Maranhão,maranhao
22,BR,PI,Piauí,piaui
23,BR,CE,Ceará,ceara
24,BR,RN,Rio Grande do Norte,rio.grande.norte
25,BR,PB,Paraíba,paraiba
26,BR,PE,Pernambuco,pernambuco
27,BR,AL,Alagoas,alagoas
28,BR,SE,Sergipe,sergipe
29,BR,BA,Bahia,bahia
31,BR,MG,Minas Gerais,minas.gerais
32,BR,ES,Espírito Santo,espirito.santo
35,BR,SP,São Paulo,sao.paulo
41,BR,PR,Paraná,parana
42,BR,SC,Santa Catarina,santa.catarina
43,BR,RS,Rio Grande do Sul,rio.grande.sul
50,BR,MS,Mato Grosso do Sul,mato.grosso.sul
51,BR,MT,Mato Grosso,mato.grosso
52,BR,GO,Goiás,goias
53,BR,DF,Distrito Federal,distrito.federal
1100015,RO,,Alta Floresta D'Oeste,alta.floresta.oeste
1100023,RO,AQS,Ariquemes,ariquemes
1100031,RO,,Cabixi,cabixi
1100049,RO,CWL,Cacoal,cacoal
1100056,RO,CJW,Cerejeiras,cerejeiras
1100064,RO,KLO,Colorado do Oeste,colorado.oeste
1100072,RO,,Corumbiara,corumbiara
1100080,RO,CMR,Costa Marques,costa.marques
1100098,RO,,Espigão D'Oeste,espigao.oeste
1100106,RO,GUM,Guajará-Mirim,guajara.mirim
1100114,RO,JAW,Jaru,jaru
1100122,RO,JIP,Ji-Paraná,ji.parana
1100130,RO,,Machadinho D'Oeste,machadinho.oeste
1100148,RO,,Nova Brasilândia D'Oeste,nova.brasilandia.oeste
1100155,RO,OPO,Ouro Preto do Oeste,ouro.preto.oeste
1100189,RO,PBW,Pimenta Bueno,pimenta.bueno
1100205,RO,PVO,Porto Velho,porto.velho
1100254,RO,PYM,Presidente Médici,presidente.medici
1100262,RO,RCR,Rio Crespo,rio.crespo
1100288,RO,RMM,Rolim de Moura,rolim.moura
1100296,RO,,Santa Luzia D'Oeste,santa.luzia.oeste
1100304,RO,VHA,Vilhena,vilhena
1100320,RO,,São Miguel do Guaporé,sao.miguel.guapore
1100338,RO,,Nova Mamoré,nova.mamore
1100346,RO,,Alvorada D'Oeste,alvorada.oeste
1100379,RO,,Alto Alegre dos Parecis,alto.alegre.parecis
1100403,RO,,Alto Paraíso,alto.paraiso
1100452,RO,,Buritis,buritis
1100502,RO,,Novo Horizonte do Oeste,novo.horizonte.oeste
1100601,RO,,Cacaulândia,cacaulandia
1100700,RO,,Campo Novo de Rondônia,campo.novo.rondonia
1100809,RO,,Candeias do Jamari,candeias.jamari
1100908,RO,,Castanheiras,castanheiras
1100924,RO,,Chupinguaia,chupinguaia
1100940,RO,,Cujubim,cujubim
1101005,RO,GJT,Governador Jorge Teixeira,governador.jorge.teixeira
1101104,RO,,Itapuã do Oeste,itapua.oeste
1101203,RO,,Ministro Andreazza,ministro.andreazza
1101302,RO,,Mirante da Serra,mirante.serra
1101401,RO,MNK,Monte Negro,monte.negro
1101435,RO,,Nova União,nova.uniao
1101450,RO,,Parecis,parecis
1101468,RO,,Pimenteiras do Oeste,pimenteiras.oeste
1101476,RO,,Primavera de Rondônia,primavera.rondonia
1101484,RO,,São Felipe D'Oeste,sao.felipe.oeste
